T	M
3.80599334E+1	4.61987353E+0
3.80908319E+1	4.61805716E+0
3.81145675E+1	4.61754033E+0
3.81390054E+1	4.61723565E+0
3.81605222E+1	4.61306705E+0
3.81832378E+1	4.61410734E+0
3.82102938E+1	4.63151242E+0
3.82286024E+1	4.61205563E+0
3.82520075E+1	4.60676533E+0
3.82857312E+1	4.60430019E+0
3.83022896E+1	4.60116787E+0
3.83317433E+1	4.59992585E+0
3.83600933E+1	4.60169092E+0
3.83785432E+1	4.60381185E+0
3.84070586E+1	4.60295653E+0
3.84309401E+1	4.60196926E+0
3.84537110E+1	4.59948533E+0
3.84808595E+1	4.59837370E+0
3.85105871E+1	4.59666173E+0
3.85324769E+1	4.59963796E+0
3.85536224E+1	4.59513852E+0
3.85848885E+1	4.59687908E+0
3.86017223E+1	4.59525685E+0
3.86269756E+1	4.59328715E+0
3.86522537E+1	4.59091330E+0
3.86724621E+1	4.59092014E+0
3.87047933E+1	4.58714080E+0
3.87239706E+1	4.58966049E+0
3.87454605E+1	4.58882930E+0
3.87746692E+1	4.58835306E+0
3.88036668E+1	4.58455230E+0
3.88323061E+1	4.58753299E+0
3.88478450E+1	4.58604755E+0
3.88846679E+1	4.58011785E+0
3.88971486E+1	4.57722776E+0
3.89126524E+1	4.58030302E+0
3.89295550E+1	4.57599815E+0
3.89528238E+1	4.57435230E+0
3.89782535E+1	4.57851517E+0
3.90020989E+1	4.56409195E+0
3.90318817E+1	4.55980982E+0
3.90427819E+1	4.56315631E+0
3.90691207E+1	4.56349085E+0
3.90969274E+1	4.56519507E+0
3.91043800E+1	4.56122596E+0
3.91312610E+1	4.55825081E+0
3.91571568E+1	4.55625912E+0
3.91849170E+1	4.56741971E+0
3.92096943E+1	4.55850984E+0
3.92341381E+1	4.55826666E+0
3.92607310E+1	4.55592971E+0
3.92901006E+1	4.55615459E+0
3.93188096E+1	4.55379681E+0
3.93477383E+1	4.55077273E+0
3.93724704E+1	4.55255042E+0
3.93951863E+1	4.55292361E+0
3.94214719E+1	4.55225654E+0
3.94501664E+1	4.55313367E+0
3.94741121E+1	4.55027127E+0
3.94811789E+1	4.54601674E+0
3.95035523E+1	4.55202566E+0
3.95255932E+1	4.54799130E+0
3.95441061E+1	4.54776937E+0
3.95680480E+1	4.54768610E+0
3.95885432E+1	4.55602062E+0
3.96245112E+1	4.54521354E+0
3.96398719E+1	4.54155335E+0
3.96599153E+1	4.54765014E+0
3.96914973E+1	4.54830332E+0
3.97167754E+1	4.53722376E+0
3.97382681E+1	4.53500676E+0
3.97613560E+1	4.53229882E+0
3.97901317E+1	4.53265722E+0
3.98107537E+1	4.53421629E+0
3.98337521E+1	4.53486834E+0
3.98542777E+1	4.53722020E+0
3.98844913E+1	4.53996264E+0
